name,label,Description,DescriptionFR,GroupName1,WebsiteURL1,GroupName2,WebsiteURL2,GroupName3,WebsiteURL3,GroupName4,WebsiteURL4,TCTmapsURL,Scale,ProvinceTXT,ProvinceTXTFR,Length,category,categorie,TrailType,TypeSentier,Activities,ActivitesFR,pointX,pointY
Elbow Trail,Elbow Trail,,,Saskatchewan Trails Association,https://sasktrails.ca/,Tourism Saskatchewan,https://www.tourismsaskatchewan.com/things-to-do/outdoor-activities/trails#sort=relevancy,,,,,,,Saskatchewan,Saskatchewan,32.469999999999999,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Road","Sentier naturel, Route en gravier","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowmobiling, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Motoneige, Vélo de montagne, Raquette",-106.79518,51.227340020000000
Elora Cataract Trailway,Elora Cataract Trailway,,,Grand River Conservation Authority,https://www.grandriver.ca/en/outdoor-recreation/Elora-Cataract-Trailway.aspx,Elora-Cataract Trailway Association,https://trailway.org/,,,,,,,Ontario,Ontario,47.729999999999997,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Horseback riding, Snowmobiling","Marche / randonnée pédestre, Vélo de route, Équitation, Motoneige",-80.02124985,43.823090420000000
Chief Isadore Trail,Chief Isadore Trail,"This trail is primarily used by cyclists for partial to full day excursions. A smaller number of Great Trail through-travelers use the trail annually. The user experience is primarily front country with reasonable proximity to public roads and services. Hikers can traverse this trail in one long day, and equestrian users would similarly take one day to traverse the entire route. This Isadore Canyon corridor was used by the Ktunaxa people for centuries, travelling along the Kootenay River. Courtesy of Oliver Thomae, RPF and Al Skucas, Trails BC Director","Ce sentier est prisé par les cyclistes, pour les excursions de quelques heures ou d’une journée entière. Un certain nombre de randonnées qui explorent l’ensemble du Grand Sentier empruntent cet itinéraire tous les ans. L’expérience des utilisateurs se déroule principalement dans l’avant-pays, à une proximité raisonnable des chemins publics et des services. Les utilisateurs du sentier peuvent parcourir ce trajet en une longue journée, à pied ou sur le dos d’un cheval. Pendant des siècles, le corridor Isadore Canyon a servi au peuple Ktunaxa qui longeait la rivière Kootenay. Publié avec l’autorisation d’Oliver Thomae, RPF, et d’Al Skucas, directeur de Trails BC.",,,,,,,,,,,British Columbia,Colombie-Britannique,44.130000000000003,Greenway,Corridor vert,"Natural Trail, Gravel Trail","Sentier naturel, Sentier en poussière de pierre","Walking / hiking, Road cycling, Horseback riding, Mountain biking","Marche / randonnée pédestre, Vélo de route, Équitation, Vélo de montagne",-115.736955,49.540574999999997
Fort San Walkway,Fort San Walkway,,,Saskatchewan Trails Association,https://sasktrails.ca/,,,,,,,,,Saskatchewan,Saskatchewan,5.380000000000000,Greenway,Corridor vert,"Natural Trail, Gravel Trail","Sentier naturel, Sentier en poussière de pierre","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-103.79487,50.775769980000000
Sturgeon County Connector,Sturgeon County Connector,,,City of Fort Saskatchewan,http://www.fortsask.ca/residents/parks-trails,,,,,,,,,Alberta,Alberta,37.320000000000000,Road,Route,"Gravel Road, Paved Road","Route en gravier, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-112.9016639,53.977934970000000
Fort Saskatchewan Bridge,Fort Saskatchewan Bridge,,,City of Fort Saskatchewan,http://www.fortsask.ca/residents/parks-trails,,,,,,,,,Alberta,Alberta,0.33,Road,Route,Paved Road,Route pavée,"Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-113.232928,53.705485979999999
Fort Saskatchewan Urban Trail,Fort Saskatchewan Urban Trail,,,City of Fort Saskatchewan,http://www.fortsask.ca/residents/parks-trails,,,,,,,,,Alberta,Alberta,10.180000000000000,"Greenway, Road","Corridor vert, Route","Paved Trail, Paved Road","Sentier pavé, Route pavée","Walking / hiking, Road cycling, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Ski de fond",-113.2706573,53.672320859999999
Friendship Trail - Alberta,Friendship Trail - Alberta,"This trail consists of 12.9 km of existing roads and approximately 16 km of new trail that passes through various landscapes on flat and slightly rolling terrain. Trees in the area are primarily poplar with some spruce in the Wilderness Park area. Hiking, walking, cycling, cross-country skiing are all ideal activities for this trail. Some points of interest include Lac Cardinal, Queen Elizabeth Provincial Park, Wilderness Park, Mighty Peace Golf and Country Club and Misery Mountain Ski Hill and Recreation Area. There are many opportunities to observe wildlife, including mule deer, moose, geese, ducks, songbirds, owls, all with the magnificent backdrop of the Northern landscape. Courtesy of Alberta TrailNet.","Ce sentier se compose d’un réseau de 12,9 km de routes existantes et d’environ 16 km de nouveaux sentiers qui traversent un paysage varié sur un terrain plat et légèrement vallonné. Les arbres de ce secteur sont principalement des peupliers, en plus de quelques épinettes qui poussent dans le parc sauvage. Ce sentier se prête admirablement aux activités comme la randonnée pédestre, la marche, le vélo et le ski de fond. Les lieux d’intérêt comprennent notamment le lac Cardinal, le parc provincial Queen Elizabeth, le parc sauvage, le terrain de golf et le club sportif Mighty Peace et le centre de ski et de loisirs Misery Mountain. De nombreuses occasions s’offrent aux visiteurs d’observer la faune et la flore, notamment le cerf mulet, l’orignal, les oies, les canards, les oiseaux chanteurs et les hiboux, et ce, dans un magnifique décor nordique. Publié avec l’autorisation d’Alberta TrailNet.",Alberta TrailNet,http://www.albertatrailnet.com/for-trail-users/trans-canada-trail/fact-sheets/friendship-trail/,,,,,,,,,Alberta,Alberta,31.980000000000000,"Greenway, Road","Corridor vert, Route","Gravel Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Route en gravier, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-117.6251141,56.189322990000001
Fundy National Park,Fundy National Park,"The Fundy Trail is actually a 2,559-hectare park hugging the coast with stunning views in every direction. There is a fascinating eco system, new access to Long Beach stretching for 2.5 km along the bay, 3 discovery beaches, a 10-km multi-use coastal trail and several footpaths. Other reasons to visit the Fundy Trail include over 20 lookouts with soul-inspiring views, a 15-metre waterfall, 60-metre suspension bridge, little flowerpot rock, 600 million-year-old rock formations and kayak tours. Located just minutes from St. Martins and less than an hour from Saint John and Sussex - you can spend a few hours or an entire day! There are lots of places to stay, restaurants and other attractions nearby in St. Martins. Courtesy of: Tourism New Brunswick.","Le sentier Fundy correspond en réalité à un parc de 2 559 hectares qui longe la côte et propose des vues époustouflantes dans toutes les directions. Ce parc renferme un écosystème fascinant, offrant un nouvel accès à la plage Long, qui s’étend sur une distance de 2,5 km le long de la baie, trois plages de découverte, un sentier côtier polyvalent de 10 km et une multitude de sentiers pédestres. Les raisons de visiter le Sentier Fundy sont nombreuses : plus de 20 belvédères aux panoramas incomparables, une chute de 15 m, un pont suspendu de 60 m, le rocher « little flowerpot », les formations rocheuses datant de 600 millions d’années et les excursions en kayak. Situé à quelques minutes de St. Martins et à moins d’une heure de Saint John et de Sussex, le sentier Fundy vous émerveillera pendant quelques heures ou occupera votre journée entière! Vous trouverez à St. Martins une myriade d’endroits où séjourner, prendre un repas ou vous divertir. Publié avec l’autorisation de Tourisme Nouveau-Brunswick.",Parks Canada,https://www.pc.gc.ca/eng/pn-np/nb/fundy/index.aspx,Sentier NB Trail,https://www.hikingnb.ca/,Tourism New Brunswick,https://tourismnewbrunswick.ca/trails,,,,,New Brunswick,Nouveau-Brunswick,40.850000000000001,"Greenway, Road","Corridor vert, Route","Natural Trail, Paved Road","Sentier naturel, Route pavée","Walking / hiking, Mountain biking","Marche / randonnée pédestre, Vélo de montagne",-65.097542,45.532885000000000
Fundy Trail Parkway,Fundy Trail Parkway,"The Bay of Fundy is renowned for having the world’s highest tides. This 10-kilometer trail offers magnificent views of sparkling water, rocky crags, a five-tiered waterfall and long blond beach where seals sunbathe. The journey on foot or cycle is strenuous as the route winds and undulates, hugging the cliff edge, then curves inland to cross gorges and ravines on bridges. A parallel road links eight trail-access points and offers shortcuts and wheelchair access to many of the lookouts.","La baie de Fundy est renommée pour ses marées les plus hautes au monde. Ce sentier de dix kilomètres offre de superbes points de vue sur d’étincelantes étendues d’eau, des rochers escarpés, une cascade à cinq paliers et une longue plage dorée où les phoques prennent des bains de soleil. À pied ou en vélo, les randonneurs seront mis à l’épreuve sur cette route sinueuse et ondulante qui longe la paroi de la falaise avant de faire un coude vers l’intérieur des terres pour traverser des ponts au-dessus de gorges et de ravins. Une route parallèle offre huit points d’accès au sentier et permet de prendre des raccourcis afin d’atteindre les nombreux belvédères par des pistes adaptées aux fauteuils roulants.",Fundy Trail Parkway,https://www.fundytrailparkway.com/,Sentier NB Trail,https://www.hikingnb.ca/,Tourism New Brunswick,https://tourismnewbrunswick.ca/trails,,,,62000,New Brunswick,Nouveau-Brunswick,10.260000000000000,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-65.46194712,45.389566979999998
Goat Creek Trail,Goat Creek Trail,,,Alberta Parks,https://albertaparks.ca/parks/kananaskis/kananaskis-country/advisories-public-safety/trail-reports/canmore-and-area/goat-creek/,,,,,,,,,Alberta,Alberta,18.640000000000001,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Cross-country skiing, Mountain biking","Marche / randonnée pédestre, Ski de fond, Vélo de montagne",-115.4300554,51.062978870000002
Good Spirit Lake Trail,Good Spirit Lake Trail,"Trail enthusiasts will love the options available at Good Spirit Lake Provincial Park. It offers excellent trails for hikers, bikers, birdwatchers, cross-country skiers and snowmobilers. Numerous trails twist and wind through the park, and offer scenic routes through both wooded and open areas. Watch for fox, coyote, deer and rabbit in the dunes area, and moose and elk elsewhere. Grosbeaks, waxwings, sharp-tailed grouse and numerous water birds are common sights in the park, as well. Hikers and cyclists can enjoy the quiet beauty of the area while sightseeing, bird watching or exercising. Courtesy of the Government of Saskatchewan.","Les adeptes du Sentier raffoleront des activités proposées au parc provincial Good Spirit Lake. Les randonneurs, les cyclistes et les ornithologues ainsi que les amateurs du ski de fond et de la motoneige y trouveront leur compte. Les nombreux sentiers en excellent état serpentent dans le parc, offrant des chemins charmants dans des secteurs boisés et dégagés. Surveillez les renards, les coyotes, les chevreuils et les lapins dans les dunes, et les orignaux dans les autres secteurs. De plus, vous y repérerez fort probablement un gros-bec, un jaseur boréal, un tétras à queue fine ou l’un des nombreux oiseaux aquatiques qui y nichent. Les randonneurs et les cyclistes bénéficieront de la beauté apaisante du secteur tout en visitant des lieux d’intérêt, en observant les oiseaux ou en faisant de l’exercice. Publié avec l’autorisation du gouvernement de la Saskatchewan.",Good Spirit Lake Trail,https://www.tourismsaskatchewan.com/listings/1804/good-spirit-lake-provincial-park-trails,Saskatchewan Parks,,,,,,,,Saskatchewan,Saskatchewan,36.789999999999999,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Road","Sentier naturel, Route en gravier","Walking / hiking, Road cycling, Cross-country skiing, Mountain biking","Marche / randonnée pédestre, Vélo de route, Ski de fond, Vélo de montagne",-102.667358,51.490044779999998
Good Spirit Lake to Yorkton Connector,Good Spirit Lake to Yorkton Connector,"Trail enthusiasts will love the options available at Good Spirit Lake Provincial Park. The park offers excellent trails for hikers, bikers, birdwatchers, cross-country skiers and snowmobilers. The Dune Discovery Interpretive Trail features sand dunes.",,,,,,,,,,,,Saskatchewan,Saskatchewan,43.280000000000001,Road,Route,"Gravel Road, Paved Road","Route en gravier, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-102.482293,51.224967990000003
Gordon Glaves Memorial Pathway,Gordon Glaves Memorial Pathway,"Brantford's trail system began more than twenty years ago. Many of the first pathways were developed on the flat surfaces of the dikes built to protect the city from floods. Gradually, other public paths were connected to the dike trails and the network grew. In 1993, the entire pathway system was named after the late Gordon C. Glaves, a prominent community volunteer. The pathway is now more than 40 km long. Most sections of the trail parallel the Grand River as it meanders through Brantford. Twenty-six kilometres on the east side of the river also form part of The Great Trail, linking Brantford to both Hamilton and Cambridge along an extensive rail trail network. The pathways are scenic and ideal for walking, cycling, jogging and even cross country skiing. Courtesy of Ontario Trails.","L’aménagement du réseau des sentiers de Brantford a commencé il y a plus de 20 ans. Bon nombre des premières pistes se trouvent sur des surfaces planes des digues, construites pour protéger la ville des inondations. Petit à petit, lorsque d’autres sentiers publics ont été raccordés aux pistes sur les digues, le réseau s’est élargi. En 1993, l’ensemble du réseau a été baptisé en l’honneur du feu Gordon C. Glaves, un bénévole important de la communauté. Aujourd’hui, les pistes s’étirent sur une distance de plus de 40 km. La plupart des tronçons du sentier côtoient la rivière Grand, qui traverse Brantford. Un tronçon de 26 km qui parcourt la rive est de la rivière fait également partie du Grand Sentier, reliant Brantford à Hamilton et à Cambridge dans le cadre d’un vaste réseau de sentiers ferroviaires. Les ravissantes pistes conviennent parfaitement à la marche, au vélo, au jogging et au ski de fond. Publié avec l’autorisation du Conseil des sentiers de l’Ontario.",City of Brantford,https://www.brantford.ca/en/things-to-do/trails.aspx?_mid_=11482,Ontario Trails,https://www.ontariotrails.on.ca/trails/view/gordon-glaves-memorial-pathway,,,,,,,Ontario,Ontario,17.489999999999998,"Greenway, Road","Corridor vert, Route","Gravel Trail, Paved Trail, Paved Road","Sentier en poussière de pierre, Sentier pavé, Route pavée","Walking / hiking, Road cycling, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Ski de fond",-80.18827382,43.151512660000002
Town of Gravenhurst,Town of Gravenhurst,"The Gravenhurst section of The Great Trail runs north-south through the Gravenhurst region from Cooper's Falls to Bracebridge. Designated activities are cycling, walking and cross country skiing. The southern section of the trail starts at Cooper's Falls, 10 km east of Severn Falls. Ontario Northland railway runs between Toronto and North Bay six days a week with a stop at Gravenhurst. Courtesy of Canada Trails.","Le tronçon Gravenhurst du Grand Sentier s’étend du nord au sud de la région de Gravenhurst, de Coopers Falls à Bracebridge. Les activités recommandées comprennent le vélo, la marche et le ski de fond. Le segment sud du sentier commence à Coopers Falls, 10 km à l’est de Severn Falls. Le chemin de fer Ontario Northland, qui assure la liaison entre Toronto et North Bay six jours par semaine, s’arrête à Gravenhurst. Publié avec l’autorisation de Canada Trails.",Town of Gravenhurst,https://www.gravenhurst.ca/en/explore-and-play/parks-and-trails.aspx,Ontario Trails,https://www.ontariotrails.on.ca/trails/view/gravenhurst-trans-canada-trail,,,,,,,Ontario,Ontario,49.320000000000000,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Trail, Paved Trail, Gravel Road, Paved Road","Sentier naturel, Sentier en poussière de pierre, Sentier pavé, Route en gravier, Route pavée","Walking / hiking, Road cycling, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Ski de fond",-79.34737212,44.982828990000002
Great Northern Rail Trail,Great Northern Rail Trail,,,,,,,,,,,,,British Columbia,Colombie-Britannique,39.700000000000003,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Horseback riding, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond",-117.2588075,49.434500849999999
Grimshaw to Hines Creek Connector,Grimshaw to Hines Creek Connector,,,,,,,,,,,,,Alberta,Alberta,83.900000000000006,Road,Route,"Gravel Road, Paved Road","Route en gravier, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-117.6251141,56.189322990000001
Cottontail Road Trail,Cottontail Road Trail,"The Cottontail Road Trail currently connects Wellington County from Elora east towards Halton Region. This section of The Great Trail in Centre Wellington closes the gap between Elora and the Kissing Bridge Trailway in Waterloo Region to the west. The trail consists of road shoulders, off road trails and signed roadways. The route winds through rural farmlands and gently rolling terrain. The northern end of the trail is opposite the entrance to the Elora Gorge Park and Campground. Courtesy of Wellington Country","Le sentier Cottontail Road actuellement raccorde le comté de Wellington d’Elora à la région d’Halton à l’est. Ce tronçon du Grand Sentier situé à Centre Wellington relie Elora au sentier ferroviaire Kissing Bridge, dans la région de Waterloo à l’ouest. Le sentier se compose de bas-côtés, de pistes tout-terrain et d’itinéraires signalisés. Le chemin parcourt des terres agricoles et des paysages légèrement vallonnés. L’extrémité nord du sentier se trouve en face de l’entrée du parc et du terrain de camping de la gorge Elora. Publié avec l’autorisation du comté de Wellington.",Wellington County,https://www.wellington.ca/en/discover/trails.aspx,,,,,,,,,Ontario,Ontario,16.309999999999999,"Greenway, Road","Corridor vert, Route","Gravel Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Route en gravier, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-80.42117108,43.584851360000002
Guysborough Nature Trail,Guysborough Nature Trail,"The Guysborough Nature Trail section of The Great Trail is located within the village of Guysborough in the Eastern Shore region, extending 45 km (28 mi) from the village to Country Harbour, St Mary’s municipal line. Enjoy several pristine waterfalls adjacent to the Trail; a cable suspension bridge, and unique trail edge habitat and history. Parking is available. Trail activities include hiking, cycling, snowshoeing and snowmobiling. Courtesy of: Tourism Nova Scotia","Le tronçon Guysborough du Grand Sentier commence dans le village de Guysborough, dans la région d’Eastern Shore. Il s’étale sur une distance de 45 km (28 milles) depuis ce village jusqu’à Country Harbour, soit à la frontière municipale de St. Mary’s. Admirez les chutes immaculées adjacentes au sentier, empruntez un pont suspendu et découvrez un habitat et une histoire tout à fait uniques. Un stationnement se trouve à proximité. Les activités proposées comprennent la randonnée pédestre, le vélo, la raquette et la motoneige. Publié avec l’autorisation de Tourisme Nouvelle-Écosse.",Trails Nova Scotia,https://trails.gov.ns.ca/tct/tct_index.html,Highland Connect,https://highlandconnect.cioc.ca/record/GUY0035?Number=0,,,,,,,Nova Scotia,Nouvelle-Écosse,56.680000000000000,Mixed-Use Trail,Sentier à usage mixte,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Horseback riding, Cross-country skiing, Snowmobiling, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Équitation, Ski de fond, Motoneige, Vélo de montagne, Raquette",-61.50498693,45.389818110000000
Guysborough Rail Trail,Guysborough Rail Trail,"This section of the Trail runs east-west between Country Harbour Cross Roads and the town of Guysborough. Country Harbour Cross Roads, Salmon River Lake, Ogden, Guysborough are all towns along the trail.  The trail surface is gravel, and trail users can go cycling, walking, cross-country skiing, horseback riding and snowshoeing. Courtesy of Canada Trails.","Ce tronçon du sentier passe de l’est à l’ouest, entre Cross Roads Country Harbour et la ville de Guysborough. Les villes de Cross Roads Country Harbour, Salmon River Lake, Ogden et Guysborough se trouvent le long du sentier.  Les utilisateurs de ce sentier en gravier peuvent y pratiquer le vélo, la marche, le ski de fond, l’équitation et la raquette. Publié avec l’autorisation de Canada Trails.",Canada Trails,http://www.canadatrails.ca/tct/ns/guysborough.html,,,,,,,,,Nova Scotia,Nouvelle-Écosse,65.700000000000003,"Greenway, Road, Mixed-Use Trail","Corridor vert, Route, Sentier à usage mixte","Gravel Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Route en gravier, Route pavée","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowmobiling, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Motoneige, Raquette",-62.62356204,45.454500000000003
Hamilton to Brantford Rail Trail,Hamilton to Brantford Rail Trail,"Completed in 1996, the Hamilton to Brantford Rail Trail represents the third and final portion of a route of the abandoned Toronto, Hamilton & Buffalo Railway that was converted into a multi-use interurban recreation trail. This system, referred to as the Hamilton-Brantford-Cambridge Trails, offers some of the best cycling and hiking opportunities in southern Ontario. The Hamilton to Brantford Rail-Trail is Ontario's first entirely off-road, interurban hiking and biking trail. The Hamilton section of the trail runs through the scenic Dundas Valley Conservation Area, home of the Thomas A. Beckett Forest and the Dundas Valley Trail Centre, a sanctuary park and rest area with indoor washroom facilities, gift shop and snack bar. Kilometer distances are marked at most locations along the trail and parking areas can accommodate vehicles and equestrian trailers. The trail is surfaced with stone dust and is suitable for bikes, walkers and equestrians. Courtesy of Ontario Trails.","Achevé en 1996, le tronçon du sentier ferroviaire Hamilton-Brantford représente le troisième et dernier segment d’un itinéraire de la ligne ferroviaire abandonnée desservant Toronto, Hamilton et Buffalo, convertie en sentier récréatif interurbain à usages multiples. Ce réseau, connu sous le nom de sentiers Hamilton-Brantford-Cambridge, compte parmi les meilleures destinations de vélo et de randonnée au sud de l’Ontario. Le sentier ferroviaire Hamilton-Brantford est le premier sentier pédestre et cyclable interurbain entièrement tout-terrain en Ontario. Le tronçon du sentier situé à Hamilton parcourt la zone de conservation Dundas Valley, où se trouvent la forêt Thomas A. Beckett et le Dundas Valley Trail Centre, qui comprend un parc et une aire de repos intérieure dotée de toilettes, d’une boutique et d’un casse-croûte. Les distances sont indiquées en kilomètres à la plupart des emplacements le long du sentier. Les stationnements accueillent les véhicules et les remorques à chevaux. La piste de gravier convient au vélo, à la marche et à l’équitation. Publié avec l’autorisation du Conseil des sentiers de l’Ontario.",Grand River Conservation Authority,https://www.grandriver.ca/en/outdoor-recreation/Brantford-to-Hamilton-Rail-Trail.aspx,Ontario Trails,https://www.ontariotrails.on.ca/trails/view/hamilton-to-brantford-rail-trail/,,,,,,,Ontario,Ontario,28.789999999999999,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Raquette",-80.18827382,43.151512660000002
Hampton to St. Martins Connector,Hampton to St. Martins Connector,,,,,,,,,,,,,New Brunswick,Nouveau-Brunswick,38.840000000000003,Road,Route,"Gravel Road, Paved Road","Route en gravier, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-65.555703,45.348255000000002
City of Saint John,City of Saint John,"Saint John offers a variety of great hiking experiences – many of them accessible to all skill levels. The trails at the Irving Nature Park take you past tidal pools, salt marshes, bogs, beaches and the Fundy coastal forest.",,Saint John - Rockwood Park,https://discoversaintjohn.com/places/rockwood-park/,Saint John - Harbour Passage,https://discoversaintjohn.com/places/harbour-passage/,Sentier NB Trail,https://www.hikingnb.ca/,,,,,New Brunswick,Nouveau-Brunswick,24.449999999999999,"Greenway, Road","Corridor vert, Route","Paved Trail, Paved Road","Sentier pavé, Route pavée","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond",-66.19548888,45.297896039999998
K&P Trail,K&P Trail,"The Frontenac K&P Trail follows the former K&P Railway Company line. The former rail corridor runs from Kingston to Sharbot Lake and further north into the County of Renfrew. Creating loops and linking to regional trail systems provides an opportunity for Trail enthusiasts of every age and skill level to experience diverse natural and cultural landscapes, 12 months of the year. Courtesy of Anne Marie Young, County of Frontenac.","Le sentier Frontenac K&P suit l’ancienne ligne de chemin de fer K&P. L’ancien corridor ferroviaire passe de Kingston à Sharbot Lake et continue vers le nord, dans le comté de Renfrew. Grâce aux sentiers en boucle et au raccordement aux réseaux de sentiers régionaux, les utilisateurs peuvent profiter des paysages naturels et culturels diversifiés, tout au long de l’année, et ce, quels que soient leur âge et leur niveau d’expertise. Les activités proposées comprennent la marche et la randonnée, le vélo, l’équitation, le ski de fond et la motoneige. Publié avec l’autorisation d’Anne Marie Young, comté de Frontenac.",Frontenac Arch Biosphere,http://www.frontenacarchbiosphere.ca/explore/fab-trails/hike/hiking-trails,,,,,,,,,Ontario,Ontario,45.369999999999997,"Greenway, Mixed-Use Trail","Corridor vert, Sentier à usage mixte","Natural Trail, Paved Trail","Sentier naturel, Sentier pavé","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowmobiling, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Motoneige, Vélo de montagne, Raquette",-76.6713906,44.405164100000000
Hastings County Trail,Hastings County Trail,"The vastness of Hastings County offers thousands of bodies of water where tourists can take advantage of amazing outdoor experiences such as the sunset on beautiful Limerick Lake, or an outback biking trip. The Hastings Heritage Trail is a four season recreational corridor stretching from Glen Ross in Quinte West to its most northerly point adjacent to Lake St. Peter Provincial Park in Hastings Highlands. The trail is enjoyed year round by snowmobilers, dogsledders, cross country skiers, horseback riders, cyclist and hikers. Courtesy of Hastings County.","L’immense comté de Hastings comporte des milliers de cours d’eau, où les touristes peuvent vivre des expériences inoubliables en plein air, comme le coucher du soleil sur le superbe lac Limerick ou une grande excursion en vélo. Le sentier Hastings Heritage, un corridor récréatif quatre saisons, s’étend de Glen Ross, à Quinte West, jusqu’à son point le plus septentrional attenant au parc provincial Lake St. Peter, dans les hautes-terres d’Hastings. Tout au long de l’année, le sentier accueille des amateurs de la motoneige, du traîneau à chiens, du ski de fond, de l’équitation, du vélo et de la randonnée pédestre. Publié avec l’autorisation du comté de Hastings.",Eastern Ontario Trails,https://www.thetrail.ca/,Hastings County,https://www.hastings.ca/explore-our-trails/,,,,,,,Ontario,Ontario,65.609999999999999,Mixed-Use Trail,Sentier à usage mixte,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowmobiling, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Motoneige, Vélo de montagne, Raquette",-77.65719872,44.295501280000003
Lang-Hastings Rail Trail,Lang-Hastings Rail Trail,"The Lang-Hastings Rail Trail connects The Great Trail across Peterborough County to the City of Kawartha Lakes to the west, and Northumberland County to the east. Travelling along the trail is an adventure unto itself; from passing alongside horses and farm animals grazing in the fields to a beaver dam that acts as a home to numerous furry little creatures. The trail leads you through a large culvert before taking you along the Trent Canal, leading you to the Village of Hastings. Leaving Hastings, only after you enjoy an ice cream cone, you can start on your trek back. Courtesy of Ontario Trails.","Le sentier ferroviaire Lang-Hastings relie le Grand Sentier à l’échelle du comté de Peterborough à la ville de Kawartha Lakes à l’ouest et au comté de Northumberland à l’est. Le parcours constitue une aventure en soi : vous risquez de rencontrer des chevaux et d’autres animaux de la ferme en pâture et de découvrir un nid de castors qui sert d’abri à de nombreuses petites créatures à poil. Ce sentier vous invite à traverser un grand ponceau avant de vous amener aux bords du canal Trent et, enfin, au village de Hastings. Après avoir visité Hastings et, surtout, dégusté un cornet de crème glacée, vous pourrez rebrousser chemin. Publié avec l’autorisation du Conseil des sentiers de l’Ontario.",Kawarthas Northumberlad,https://kawarthasnorthumberland.ca/,Eastern Ontario Trails,https://www.thetrail.ca/,Ontario Trails,https://www.ontariotrails.on.ca/trails/view/lang-hastings-trans-canada-trail,,,,,Ontario,Ontario,32.700000000000003,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowmobiling, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Motoneige, Vélo de montagne, Raquette",-78.28683617,44.284683319999999
